ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,term,Group,,
MF,GO:0140640,catalytic activity, acting on a nucleic acid,91/1701,487/12936,0.186858316,1.42104596,3.68532325,0.000271227,0.004824561,0.003997036,4332128/4343276/4335708/4340671/4342584/4348211/4336092/4336254/4349044/4337830/4331680/4347482/4347617/4330452/4347343/4341695/4336488/4347610/4345271/4326614/4333571/4326574/4337169/4342553/4327960/4328787/4340996/4341211/4339847/4352514/4344031/4336501/4325745/4347379/4329057/4352769/4326542/4338271/4349924/9268162/4341945/4340375/4327899/4338371/4329095/4324952/4334816/4347708/9267055/4344685/4328994/9267698/4330426/4347081/4334435/4347183/4337137/4348610/4343801/4342480/4338212/4323938/4331698/4331214/4326401/4325640/4325052/4351709/4339038/4333678/4343339/4342624/4327631/4330670/4325731/4332999/4334449/4331253/4333337/4330120/4346491/4335025/4351098/4344818/4326551/4337655/9267125/4334111/4339099/4326378/4333747,91,GO:0140640: catalytic activity, acting on a nucleic acid,Khib
MF,GO:0022804,active transmembrane transporter activity,72/1701,399/12936,0.180451128,1.372319688,2.939371453,0.00291448,0.032899999,0.027256881,4336625/4341405/4324813/4336011/4331281/4326045/4347344/4327489/4333901/4337647/4345497/4332447/4332901/4328470/4350505/4323896/4345498/4331585/4348218/9269254/4345450/4331945/4327833/9270824/4340904/4328616/4341339/4345272/4331853/4337173/4340312/4341778/4352910/4331015/4337257/4350361/4328874/9267349/4332438/4324720/4349384/4331984/4346436/4337618/4327412/4345528/4335983/4344808/4352546/4326410/4328448/4340195/4348639/4347248/4336015/4327728/4327660/4339122/4331934/4327730/4337176/4346344/4352928/4342621/4338133/4332270/4346714/4329936/4349727/4336468/4351444/4352332,72,GO:0022804: active transmembrane transporter activity,Khib,,
MF,GO:0003729,mRNA binding,66/1701,360/12936,0.183333333,1.394238683,2.951807667,0.002892117,0.032899999,0.027256881,4347128/4342835/4327045/4348938/4347068/4341860/4328390/4337080/4347232/4337883/4326977/4343261/4331683/4331680/4349288/9271390/4328997/4343144/4350828/4352441/4329958/4340159/4343774/4336279/4333618/4332626/4336501/4337559/4343740/4333283/4339664/4343809/4332197/4342750/9270146/4347096/107276303/4330740/4337454/4334962/4346390/4325442/4334103/4330529/4334512/4329949/4332471/4345942/4329341/4342177/4343757/4345242/4326038/4330670/9270641/4343516/4333840/4340846/4345901/4338199/4330120/4328199/4346201/4332063/4347871/4351978,66,GO:0003729: mRNA binding,Khib,,
MF,GO:0008233,peptidase activity,65/1701,481/12936,0.135135135,1.027694361,0.240846787,0.01,0.01,0.01,4347361/107277438/4330133/4323863/4341796/4324683/4342685/4338899/4340483/4342150/4349589/4350216/4328787/4332762/4336553/4352123/4352242/4347239/9268615/4328060/4346976/4346337/4350665/4337552/4335100/4345501/4334001/4328434/4337582/4336948/4337022/4326283/4338081/4334194/4336642/4344054/4329740/4330617/4330987/4342113/4349163/4327502/4326161/4330552/9266542/4348543/4326500/4337439/4345734/4330744/4332921/4347233/4331244/4339738/9270304/4330237/4346856/4335733/4328632/4341800/4326617/4328737/4347462/4343400/4352103,65,GO:0008233: peptidase activity,Khib,,
MF,GO:0005525,GTP binding,64/1701,217/12936,0.294930876,2.242931103,7.18454508,1.50E-10,9.76E-09,8.09E-09,4352733/4327008/4334534/4335338/4325312/4346742/9272123/4329493/4332772/4337861/4332742/4350788/4339796/4339566/4349436/4338790/4344894/4347509/4352684/4332330/4346744/4350828/4351657/4352748/9267495/4341266/4327743/4350197/4332083/4333966/4336117/4330669/4324669/4349461/9270381/4339450/4334619/4324856/4328363/4339683/4333567/4339017/9270837/4347182/4325442/4337834/4352298/4324623/4340644/4331813/4331812/4331811/4331810/4343414/4338525/4334800/4351709/4337888/4334746/4332316/4333588/4325546/4329809/4337890,64,GO:0005525: GTP binding,Khib,,
MF,GO:0019001,guanyl nucleotide binding,64/1701,217/12936,0.294930876,2.242931103,7.18454508,1.50E-10,9.76E-09,8.09E-09,4352733/4327008/4334534/4335338/4325312/4346742/9272123/4329493/4332772/4337861/4332742/4350788/4339796/4339566/4349436/4338790/4344894/4347509/4352684/4332330/4346744/4350828/4351657/4352748/9267495/4341266/4327743/4350197/4332083/4333966/4336117/4330669/4324669/4349461/9270381/4339450/4334619/4324856/4328363/4339683/4333567/4339017/9270837/4347182/4325442/4337834/4352298/4324623/4340644/4331813/4331812/4331811/4331810/4343414/4338525/4334800/4351709/4337888/4334746/4332316/4333588/4325546/4329809/4337890,64,GO:0019001: guanyl nucleotide binding,Khib,,
MF,GO:0032561,guanyl ribonucleotide binding,64/1701,217/12936,0.294930876,2.242931103,7.18454508,1.50E-10,9.76E-09,8.09E-09,4352733/4327008/4334534/4335338/4325312/4346742/9272123/4329493/4332772/4337861/4332742/4350788/4339796/4339566/4349436/4338790/4344894/4347509/4352684/4332330/4346744/4350828/4351657/4352748/9267495/4341266/4327743/4350197/4332083/4333966/4336117/4330669/4324669/4349461/9270381/4339450/4334619/4324856/4328363/4339683/4333567/4339017/9270837/4347182/4325442/4337834/4352298/4324623/4340644/4331813/4331812/4331811/4331810/4343414/4338525/4334800/4351709/4337888/4334746/4332316/4333588/4325546/4329809/4337890,64,GO:0032561: guanyl ribonucleotide binding,Khib,,
MF,GO:0016829,lyase activity,64/1701,304/12936,0.210526316,1.601039636,4.126222863,7.36E-05,0.001601003,0.001326394,4346318/4345387/4349718/9268297/4343441/4325587/4325155/4342935/4330192/4344637/4348564/4328997/4333918/4327960/4344858/4332774/4338737/4328859/4336831/4340042/4351434/4332253/4334640/4338537/4330037/4329234/4332341/4325027/4341496/9268162/4340008/4350524/4326769/4334425/4347708/4330036/4346699/4326503/4337823/4339017/4332519/4325309/4347717/4336415/4338861/4330040/4352298/4328147/4324491/9271676/4347752/4332356/4348268/4336402/4339066/4335756/4331117/4346906/4330034/4325777/4333898/4327295/4344260/4336624,64,GO:0016829: lyase activity,Khib,,
BP,GO:0044283,small molecule biosynthetic process,95/1459,474/11422,0.200421941,1.56903318,4.842214384,3.52E-06,0.000564177,0.000502379,4334381/4337347/4340142/4326964/4341792/4334048/4329007/4339521/4351707/4336402/4334794/4344164/9271676/4350083/4332547/4334290/4339645/4349718/4333898/4335227/107275880/4350817/4325444/4331528/4344382/4330711/4332596/4352498/4328147/4341770/4336982/4343906/4330451/4334841/4336983/4342614/4324516/4334460/4349120/4329733/4327819/4336384/4352833/4352832/4328603/4339204/4330627/4328435/4349660/4333033/4324844/4338768/4335048/4329509/4330036/4330657/4328143/4334640/4326266/4335576/4340093/4326680/4345056/4351381/4346355/4332563/4346642/4328992/4332286/4339684/4330474/4338868/4331836/4339583/4330437/107277365/4331075/4349897/4340691/4332519/4348636/4350816/4334049/4345690/4348072/4350591/4341844/4337230/4351460/4349745/4344928/4343348/4346596/4331161/4338861,95,GO:0044283: small molecule biosynthetic process,Kmal,,
BP,GO:0055085,transmembrane transport,86/1459,446/11422,0.192825112,1.509560268,4.200737887,4.60E-05,0.003950627,0.003517889,4331281/4340195/4331559/4328577/4332497/4345334/4348866/4328468/4340312/4341965/4332012/4339137/4332333/4336377/4332389/4342859/4325014/4339274/4327491/4350361/4351384/4332901/4349512/4336250/4330845/4347248/4348651/4352800/4338277/4332049/4331585/4344527/4352640/4352910/4333289/4333593/4335955/9270824/4338880/4333291/4340653/4330539/4336365/4325287/4337635/4340431/9266924/4338881/4333560/4337645/4348915/4324258/4326284/4339644/4338353/4338051/4347808/9266695/4325457/4341421/4331674/107275756/4337643/4331853/4334854/9272586/4330288/4345272/4327022/4348864/4334137/4337945/4342783/4325143/4349516/4335983/4339755/4338867/4342621/4342752/4327687/4335932/4349429/4348368/4336655/9272347,86,GO:0055085: transmembrane transport,Kmal,,
BP,GO:1901135,carbohydrate derivative metabolic process,79/1459,460/11422,0.17173913,1.344485502,2.885955384,0.003290282,0.01,0.01,4343003/4341496/4329911/107276220/4336560/4337620/4342364/4332425/4334290/4341339/4331761/4331746/4329853/4335227/4335559/4335562/107280744/4350528/9270381/4337396/4352803/4330016/4343697/4341770/4334604/4342614/4332699/4339369/4344934/4344260/4338859/4344386/4339882/4347800/4331059/4338768/4328991/4350243/4347887/4340909/9266653/4339996/4344545/4338879/4333153/4344854/4333564/4345953/4340643/4338088/4339675/9267826/4345458/4332373/4331519/4351413/4349694/4331392/4327301/4347614/4330474/4338720/4334003/4343843/107277365/4345071/4349897/9269493/4348186/4326153/4347443/4347680/4339345/4334671/4340564/4324876/4338034/4337890/4348582,79,GO:1901135: carbohydrate derivative metabolic process,Kmal,,
BP,GO:0019637,organophosphate metabolic process,78/1459,432/11422,0.180555556,1.413506207,3.352815892,0.00084332,0.027004966,0.024046936,4343003/4341496/4329911/107276220/4325407/4346332/4351707/4344315/4334290/4341339/4331761/4331746/4335227/4335559/4335562/4336987/4350528/4345628/9270381/4337396/4352803/4330016/4341770/4341468/4342614/4334460/4340685/4339369/4341801/4344386/4346801/4337509/4339882/4331059/4338768/4349389/4349161/4329509/4328991/4350243/4347887/4340909/9266653/4339996/4344545/4337942/4338879/4344854/4333564/4345953/4341467/4340643/4339675/9267826/4331392/4327301/4347614/4345232/4330474/4334003/4343843/4345665/107277365/4345071/4349897/4348186/4326153/4347443/4347680/4334671/4328107/4337061/4338034/4331161/4337890/4348582/4344972/4348512,78,GO:0019637: organophosphate metabolic process,Kmal,,
BP,GO:0032787,monocarboxylic acid metabolic process,77/1459,304/11422,0.253289474,1.982914577,6.646972462,1.35E-09,9.74E-07,8.68E-07,4343003/4334381/4326552/4341496/4329911/4341792/4328997/4347752/9271676/4329892/4332547/4334290/4339645/4349774/4344564/4334698/107275880/4350817/4326503/4331150/4349051/4350528/4352498/4352803/4336982/4343906/4330451/4336983/4327493/4324516/4330184/4336384/4341801/4328603/4339204/4330627/4337069/4328435/4345810/4348804/4324844/4330036/4327088/9266653/4332356/4344545/4348176/4340093/4326680/4345056/4333564/4332728/4331779/4341907/4344858/4328992/4336216/4339684/4334003/4331836/4338007/107277365/9268154/4349897/4340691/4326769/4326153/4334049/4348072/4332253/4340042/4326516/4337406/4344928/4346596/4346906/4338861,77,GO:0032787: monocarboxylic acid metabolic process,Kmal,,
BP,GO:0006520,amino acid metabolic process,73/1459,332/11422,0.219879518,1.721359736,5.104342565,1.59E-06,0.000311482,0.000277363,4337347/4340142/4334917/4336750/4334048/4329098/9269289/4339521/4336402/4334794/4344164/9271676/4348564/4350083/4348464/4349718/4333898/4331528/4344382/4332596/4348211/4328147/4336982/4336983/4341516/4325932/4327819/4348562/4352833/4352832/4349660/4342610/4335048/4330036/4330657/4335977/4342480/4334405/4334640/4326266/4340008/4351381/4331779/9268115/4339675/4332563/4339847/4329560/4346642/4330354/4337996/4328992/4351413/4349694/4345605/4332286/4330474/4338868/4339583/4352435/4329101/4344637/4345071/4337051/4332519/4345690/4337230/4351460/4349745/4344928/4343348/4341252/4338861,73,GO:0006520: amino acid metabolic process,Kmal,,
BP,GO:0016053,organic acid biosynthetic process,67/1459,350/11422,0.191428571,1.49862724,3.625614544,0.000383469,0.015349401,0.013668082,4334381/4337347/4340142/4334048/4339521/4336402/4334794/4344164/9271676/4350083/4332547/4339645/4333898/107275880/4350817/4325444/4331528/4332596/4352498/4328147/4336982/4343906/4330451/4334841/4336983/4324516/4327819/4336384/4352833/4352832/4328603/4330627/4349660/4333033/4324844/4335048/4330036/4330657/4328143/4334640/4335576/4340093/4326680/4345056/4351381/4332563/4346642/4328992/4332286/4339684/4330474/4338868/4331836/4339583/4340691/4348636/4350816/4334049/4345690/4348072/4337230/4351460/4349745/4344928/4343348/4346596/4338861,67,GO:0016053: organic acid biosynthetic process,Kmal,,
BP,GO:0046394,carboxylic acid biosynthetic process,67/1459,350/11422,0.191428571,1.49862724,3.625614544,0.000383469,0.015349401,0.013668082,4334381/4337347/4340142/4334048/4339521/4336402/4334794/4344164/9271676/4350083/4332547/4339645/4333898/107275880/4350817/4325444/4331528/4332596/4352498/4328147/4336982/4343906/4330451/4334841/4336983/4324516/4327819/4336384/4352833/4352832/4328603/4330627/4349660/4333033/4324844/4335048/4330036/4330657/4328143/4334640/4335576/4340093/4326680/4345056/4351381/4332563/4346642/4328992/4332286/4339684/4330474/4338868/4331836/4339583/4340691/4348636/4350816/4334049/4345690/4348072/4337230/4351460/4349745/4344928/4343348/4346596/4338861,67,GO:0046394: carboxylic acid biosynthetic process,Kmal,,
BP,GO:0071554,cell wall organization or biogenesis,65/1459,394/11422,0.164974619,1.291528514,2.253540758,0.017062497,0.01,0.01,4344368/4347136/4331259/4328966/4332574/4343844/4348365/4330583/107280744/4339895/4335860/4348853/4343049/4345658/4329121/4330912/4329045/4334604/9267660/4347268/4334710/4330606/4341648/4332569/4337166/4345960/4340468/4324536/4347671/4328967/4351177/4337958/4350319/4325131/4326529/4336041/4334515/4346968/9270078/9269982/4330821/4330706/4349348/4332625/4342858/4329203/4333049/4345458/4331519/4343553/107276327/4351129/4338720/4327217/4330750/4337139/4336602/4344020/4333697/4330213/4350320/107276048/4340469/4344370/107278203,65,GO:0071554: cell wall organization or biogenesis,Kmal,,
BP,GO:0033554,cellular response to stress,62/1459,435/11422,0.142528736,1.115807552,0.942381158,0.01,0.01,0.01,4334691/4344031/4334754/4336560/4333161/4350526/4340223/4335134/4331236/4324158/4340912/4335732/9270304/4351390/4323853/4333165/4339821/4341465/4331016/4351482/4325652/4336384/4336225/4334405/4340604/4341749/4330505/4328075/4335896/107275835/4334839/4327706/4344139/4339099/4342124/4338088/4331090/4345893/4339343/4343276/4328092/9270244/4333880/4339215/4330474/4337655/4349656/4351377/4345071/9271913/4339642/4348535/4340503/4342485/4345706/4336726/9267802/4347405/4347402/4329835/4339794/4345606,62,GO:0033554: cellular response to stress,Kmal,,
CC,GO:0009941,chloroplast envelope,28/1441,146/12039,0.191780822,1.602254903,2.699654985,0.007534505,0.01,0.01,4334695/4345334/4343643/4349303/4339137/4326365/4332389/4351259/4327491/4352522/4332203/4352800/4338277/4344527/9270824/4341902/4325928/4342600/4333802/4338191/4325917/4334387/4343219/4338668/4352341/9270397/9272586/4323925,28,GO:0009941: chloroplast envelope,Kmal,,
CC,GO:0009532,plastid stroma,27/1441,117/12039,0.230769231,1.927988042,3.71927212,0.000531505,0.044114917,0.041214951,4329911/4339248/4329007/4351682/9266797/4342564/4326994/4330451/4338768/9266653/4352441/4332348/4335896/4351224/4343219/4345893/4328000/4334003/9272377/4324700/4349897/4326153/4332063/4337230/4333151/4345438/4338302,27,GO:0009532: plastid stroma,Kmal,,
CC,GO:0009570,chloroplast stroma,25/1441,111/12039,0.225225225,1.881670011,3.440970471,0.001218843,0.01,0.01,4329911/4339248/4329007/4351682/9266797/4342564/4326994/4330451/4338768/9266653/4352441/4335896/4351224/4343219/4345893/4328000/4334003/9272377/4324700/4349897/4326153/4332063/4337230/4345438/4338302,25,GO:0009570: chloroplast stroma,Kmal,,
CC,GO:0005773,vacuole,25/1441,163/12039,0.153374233,1.281382646,1.333684854,0.01,0.01,0.01,4336523/4337620/107275726/4329678/4344482/4332270/4328060/4339457/4327412/4336250/4324348/4345218/4325287/4328075/4348376/4328018/9272111/4327371/107275756/4324982/4334137/4342783/4330133/4329846/4331730,25,GO:0005773: vacuole,Kmal,,
CC,GO:0099023,vesicle tethering complex,19/1441,82/12039,0.231707317,1.935825392,3.135363071,0.00320721,0.01,0.01,4335639/4326480/4335134/4346124/4351323/9269169/4352423/4347167/4344339/4348622/9268086/4332756/4349830/4351857/4337464/4343638/4334934/4352484/4336957,19,GO:0099023: vesicle tethering complex,Kmal,,
CC,GO:0005777,peroxisome,17/1441,83/12039,0.204819277,1.711186174,2.397323268,0.017857687,0.01,0.01,4328997/4347752/4343616/4337359/4330469/4326503/4331150/4330468/4348804/4338442/4332579/4342124/4345232/9268154/4347443/4341876/4345606,17,GO:0005777: peroxisome,Kmal,,
CC,GO:0042579,microbody,17/1441,83/12039,0.204819277,1.711186174,2.397323268,0.017857687,0.01,0.01,4328997/4347752/4343616/4337359/4330469/4326503/4331150/4330468/4348804/4338442/4332579/4342124/4345232/9268154/4347443/4341876/4345606,17,GO:0042579: microbody,Kmal,,
CC,GO:1905368,peptidase complex,17/1441,84/12039,0.202380952,1.69081491,2.342738193,0.019972816,0.01,0.01,4327357/4333000/4330075/4324027/4334173/4324031/4338009/4340166/4330676/4331828/4347710/4346245/4340253/107278560/4340285/4350922/4327502,17,GO:1905368: peptidase complex,Kmal,,
CC,GO:0000502,proteasome complex,15/1441,62/12039,0.241935484,2.021277786,2.972780942,0.005460726,0.01,0.01,4327357/4333000/4330075/4334173/4324031/4338009/4340166/4330676/4331828/4347710/4346245/4340253/107278560/4340285/4350922,15,GO:0000502: proteasome complex,Kmal,,
CC,GO:0098791,Golgi apparatus subcompartment,15/1441,63/12039,0.238095238,1.989194012,2.90263924,0.006393164,0.01,0.01,4342364/4351323/9269169/4343931/4333331/4339340/4347268/4340468/4330821/4331090/4332756/4337139/4340469/4352484/4336957,15,GO:0098791: Golgi apparatus subcompartment,Kmal,,
MF,GO:0017111,ribonucleoside triphosphate phosphatase activity,104/1702,489/12936,0.212678937,1.616459885,5.409071101,2.81E-07,3.35E-05,2.85E-05,4331281/4333685/4340195/4334695/4339566/4339570/4341219/4349303/4333161/4328448/4351828/4350526/4325546/4344011/4340312/4334649/4325312/4341965/4350873/9267997/4339274/9270304/4336600/4350361/4332447/4337173/4329031/4333026/4339821/4343414/4339340/4334490/4325387/4326190/4336528/4341328/4331016/4347924/4331585/4352910/4334272/4341902/4341405/4325480/4330676/4336468/4331379/4345498/4344716/4326615/9267724/4341945/4341075/4326045/4328075/4336047/4351224/4334807/4339099/4326614/4336625/4324268/4341778/4332413/4337645/4340563/4345893/4329809/4326284/4329493/4339343/4335633/4326617/4351449/4346343/4349809/4335453/4324720/4336501/4344894/4331674/4326208/4337643/4340644/4350437/4331853/4327502/4339683/4338525/4330669/4336912/4342783/4323896/4334800/4347344/4342621/4340503/9267802/4347405/4347402/4329835/4338652/4329576/4338877,104,GO:0017111: ribonucleoside triphosphate phosphatase activity,Kmal,,
MF,GO:0022804,active transmembrane transporter activity,90/1702,399/12936,0.22556391,1.714391737,5.641853988,1.18E-07,2.33E-05,1.98E-05,4331281/4340195/4345334/4328448/4340312/4341965/4327730/4339137/4332333/4336377/4341339/4326365/4331637/4351444/4349727/4332270/4329741/4343728/4338116/4352332/4327491/4350361/4332447/4351384/4332901/4349512/4331935/4337173/4330044/4332203/4327412/4336250/4330845/4347248/4326342/4343590/4352800/4338277/4329936/4331585/4344527/4352910/4333289/9270824/4341902/4333291/4341405/4325928/4336468/4343729/4330539/4345498/9267724/4338191/4326045/4337618/4349969/4325917/4324697/4336625/107275739/4341778/4337645/9272111/4326284/4339644/4338353/4327371/4331044/4351449/4341421/4324720/4339122/4331674/4337643/4331853/4332438/4334854/9272586/4345272/4336912/4342783/4323896/4335983/4347344/4342621/4348368/4342689/4331775/4338652,90,GO:0022804: active transmembrane transporter activity,Kmal,,
MF,GO:0016887,ATP hydrolysis activity,83/1702,327/12936,0.25382263,1.929171293,6.624073191,1.27E-09,7.47E-07,6.36E-07,4331281/4333685/4340195/4339570/4341219/4333161/4328448/4351828/4350526/4344011/4340312/4334649/4341965/4350873/9267997/9270304/4336600/4350361/4332447/4337173/4329031/4339821/4339340/4334490/4326190/4336528/4341328/4331016/4347924/4331585/4352910/4334272/4341902/4341405/4325480/4330676/4336468/4331379/4345498/4344716/4326615/9267724/4341945/4341075/4326045/4328075/4336047/4351224/4334807/4339099/4326614/4336625/4324268/4341778/4332413/4337645/4340563/4345893/4326284/4339343/4326617/4351449/4346343/4335453/4324720/4336501/4344894/4331674/4337643/4331853/4327502/4336912/4342783/4323896/4347344/4342621/4340503/9267802/4347405/4347402/4329835/4338652/4329576,83,GO:0016887: ATP hydrolysis activity,Kmal,,
MF,GO:0008233,peptidase activity,76/1702,481/12936,0.158004158,1.200905868,1.747789312,0.049117564,0.01,0.01,9270395/4351851/4336523/4335507/4328737/4335455/4337022/4347361/4328965/4349163/4335170/4334194/107276269/4347403/4326667/4336553/4330916/4336009/4330987/4348543/4339279/4328060/4327852/9270304/107277438/4349822/4335504/4333413/4326550/4343226/4338009/4330241/4332395/4326500/4324348/9272686/4340166/4350724/4342085/4339818/4325596/4338899/4352103/4332219/4326529/4346337/4343460/4348376/4336641/4334387/4331955/4343400/4325964/4340563/107276109/4326617/4331402/4343783/4326161/4344181/4329339/4327502/4324982/4341667/4330617/4331282/4330133/4335833/4339870/4327861/4329350/4324970/4341884/4347174/4338128/4346934,76,GO:0008233: peptidase activity,Kmal,,
MF,GO:0140640,catalytic activity, acting on a nucleic acid,76/1702,487/12936,0.156057495,1.186110314,1.629534173,0.01,0.01,0.01,4334691/4333571/4347066/4343339/4344031/4343801/4330921/4350526/4344011/4340996/4334649/9267691/4348464/4323881/4341594/4323853/9267698/4347343/4348211/4336254/4326190/4334435/4331016/4324118/4351482/4348562/4346606/4339535/4326574/4329524/4341695/4346491/4333042/4345656/4347787/4344716/9268581/4342480/4326615/4332128/4341945/4340604/4329057/4341749/107275835/4336047/4325745/4329095/4339099/4345271/4326614/4339847/107277123/9270411/4343276/4330354/4334766/4337996/4336092/9270244/4339215/4334816/4334609/4336501/4328436/4352435/4337655/4338140/4339642/4351499/4340503/4339347/4345448/4336488/4342624/4329835,76,GO:0140640: catalytic activity, acting on a nucleic acid,Kmal
MF,GO:0015318,inorganic molecular entity transmembrane transporter activity,70/1702,334/12936,0.209580838,1.592912882,4.273071564,4.09E-05,0.002003717,0.001705215,4331281/4345334/4328448/4328468/4340312/4341965/4329678/4332012/4332333/4336377/4341339/4331637/4332270/4342859/9270874/4352522/4332447/4328200/4331935/4345999/4327412/4336250/4330845/4347248/9267520/4352640/4352910/4334873/4335955/4345218/4341902/4340653/4342074/4336365/4325287/4347211/9267724/4345789/4337190/4349969/4324697/4338878/4336625/107275739/4341778/4331090/9272111/4338051/4327371/4331044/4351449/9266695/4339122/4330049/4331853/4345272/4334137/4333298/4336912/4342783/4325143/4335983/4345939/4338867/4342621/4336424/4349429/4347729/4331775/4346918,70,GO:0015318: inorganic molecular entity transmembrane transporter activity,Kmal,,
MF,GO:0015075,monoatomic ion transmembrane transporter activity,66/1702,324/12936,0.203703704,1.548243896,3.89000459,0.000162088,0.005039855,0.004289047,4331281/4328448/4328468/4347834/4340312/4341965/4329678/4332012/4336377/4341339/4332270/4342859/4347126/4352522/4332447/4328200/4331935/4345999/4327412/4336250/4342180/9267520/4348651/4333968/4352640/4352910/4335955/4345218/4341902/4340653/4342074/4325287/4340443/4347211/9267724/4345789/4340431/4337190/9266924/4324697/4338878/4336625/107275739/4341778/9272111/4338051/4327371/4331044/4351449/9266695/4339122/4331853/4345272/4334137/4333298/4336912/4342783/4333702/4325143/4345939/4338867/4342621/4349429/4331775/4352647/4346918,66,GO:0015075: monoatomic ion transmembrane transporter activity,Kmal,,
MF,GO:0016798,hydrolase activity, acting on glycosyl bonds,64/1702,366/12936,0.174863388,1.329043941,2.48555047,0.00986031,0.01,0.01,4328608/4347547/4348315/4334754/4347545/4337620/4331042/4347769/4334391/4342117/4343350/4342501/4338337/4338406/4343697/4330912/4333944/4339457/4341481/4329561/4324001/4338756/4339762/4345280/4337166/4341515/9271949/4334114/4326721/4351177/4350319/4330874/4323970/4325976/4329626/4346968/4333617/4347262/4333153/4326573/4328018/4345995/4338088/107275619/4332041/107277123/4348914/4331519/4341414/4338720/4339868/4328189/4330750/4335790/4342703/4333697/9269377/4339642/4347165/4350320/4331730/4327684/4335780/4344290,64,GO:0016798: hydrolase activity, acting on glycosyl bonds,Kmal
MF,GO:0046906,tetrapyrrole binding,61/1702,451/12936,0.135254989,1.02800149,0.235597636,0.01,0.01,0.01,9272160/4340745/4339248/4334201/4340714/4342251/4331202/9269224/4344024/4345795/107276369/4341626/4341023/4329422/4328732/4341861/4346594/4348304/4329329/4339836/4345798/4331557/107275899/107276424/107276425/4337730/4345810/4341081/4328832/4339222/9271540/4331568/4330867/4341526/4328389/4349792/4332922/4338594/4335896/4342124/4335062/4341934/4341438/107276522/107275644/4339188/4345751/4347661/4349427/4329723/4345663/4339223/4341247/9266794/4341932/4328533/4348299/4326716/4333262/4346649/4344303,61,GO:0046906: tetrapyrrole binding,Kmal,,
MF,GO:0016829,lyase activity,60/1702,304/12936,0.197368421,1.50009277,3.434370095,0.0007357,0.015502255,0.01319282,4337823/4341496/4334917/4336750/4339521/4328997/4347752/4336402/9271676/4332425/4348564/4349718/4333898/4325444/4326503/4330881/4344382/4332596/4328147/4326883/9270894/4329733/4344260/4341801/4325155/4335048/4345656/107276016/4330036/4335977/4325309/4334640/4326266/4332356/4344545/4340604/4348176/4340008/4341749/4331117/4342935/4331547/4326138/4344858/4335094/4346274/4332286/4346699/4345387/107277365/4344637/4349897/4326769/4351434/4332519/4332253/4340042/4346906/4328859/4338861,60,GO:0016829: lyase activity,Kmal,,
BP,GO:0044283,small molecule biosynthetic process,101/1503,474/11422,0.213080169,1.619295867,5.360651433,3.56E-07,4.57E-05,4.11E-05,4330034/4345710/4325777/4347691/4351464/4332519/4344382/4333458/4345328/4345056/4331322/4338768/4348450/4323866/4331075/4352833/4332563/4352839/4327936/4345994/4330711/4352498/4324282/4339204/4350456/4336415/4333410/4344179/4341321/4326739/4324941/4341322/4348794/4326735/4324773/107275880/4343906/4329234/4326958/4344612/4332547/4339677/4340392/4348268/4340706/4348072/4338868/4339066/4324853/4324261/4349897/4325444/4344594/4333719/4330036/4342026/4344164/4348467/4337230/4351847/9266140/4352832/4336624/4332341/4342980/4336983/4328435/4332108/4340547/4332596/4333823/9271676/4330040/4335756/4352146/4352147/4334169/4329349/4347717/4327819/4351460/4349745/4332607/4332608/4333257/4346642/4332296/4348656/4352747/4334535/4334425/4332151/4347311/4345962/4344928/4326680/4350816/4348636/4346318/4337286/107277102,101,GO:0044283: small molecule biosynthetic process,Ksucc,,
BP,GO:0006520,amino acid metabolic process,92/1503,332/11422,0.277108434,2.1058766,7.959898839,7.27E-13,1.03E-09,9.22E-10,4330034/4345710/4332519/4344382/4333458/4345328/4333345/4341516/4325932/4348464/4331322/4323866/4324899/4335708/4352833/4324672/4332563/4352839/9269289/4348211/4324282/4350456/4336415/4352065/4332018/4341321/4324941/4341322/4348794/4326735/4324773/4344270/4329234/4326958/4344612/4339677/4325653/4325717/4340706/4345071/4330908/9268115/4341252/4338868/4339066/4324853/4324261/4330036/4331779/4342026/4344164/4331017/4337230/4351847/4334405/9266140/4352832/4346391/4336624/4332341/4342980/4336983/4332108/4340547/4324172/4332596/9271676/4330040/4335756/4335973/4346920/9266147/4347717/4327819/4351460/4349745/4325198/4346642/4332296/4348656/4345200/4352747/4334535/4334425/4348524/4332151/4345962/4344928/4337930/4346318/4326034/4351776,92,GO:0006520: amino acid metabolic process,Ksucc,,
